,localidade,municipio,estado,data_avistamento,municipio_estado
662,Delta Sul do Parnaíba,Parnaíba,PI,2019-11-18,Parnaíba/PI
663,Praia do Taipe (Praia do Rio da Barra),Porto Seguro,BA,2019-11-19,Porto Seguro/BA
664,Ilha do Delta do Jequitinhonha,Belmonte,BA,2019-11-19,Belmonte/BA
665,Praia de Povoação,Linhares,ES,2019-11-19,Linhares/ES
666,Peso,Canavieiras,BA,2019-11-19,Canavieiras/BA
667,Praia Pontal do Sul,Conceição Da Barra,ES,2019-11-19,Conceição Da Barra/ES
668,Praia de Iemanjá,Caravelas,BA,2019-11-19,Caravelas/BA
669,Praia de Saquaíra,Maraú,BA,2019-11-19,Maraú/BA
670,Praia da Barra Nova,São Mateus,ES,2019-11-19,São Mateus/ES
671,Praia do Rio e praia do centro,Prado,BA,2019-11-19,Prado/BA
672,Praia da Barra do Sargi,Ilhéus,BA,2019-11-19,Ilhéus/BA
673,Praia de Mamoã,Ilhéus,BA,2019-11-19,Ilhéus/BA
674,Praia de Monsarás,Linhares,ES,2019-11-19,Linhares/ES
675,Praia dos Milionários,Ilhéus,BA,2019-11-19,Ilhéus/BA
676,Praia dos Milionários,Ilhéus,BA,2019-11-19,Ilhéus/BA
677,Praia de Urussuquara,São Mateus,ES,2019-11-19,São Mateus/ES
678,Praia de Gramuté,Aracruz,ES,2019-11-19,Aracruz/ES
679,ponta do ramo,Ilhéus,BA,2019-11-19,Ilhéus/BA
680,Praia de Pecém,São Gonçalo Do Amarante,CE,2019-11-19,São Gonçalo Do Amarante/CE
681,Praia do Miai de Cima,Coruripe,AL,2019-11-20,Coruripe/AL
682,Mangue Seco,Jandaíra,BA,2019-11-20,Jandaíra/BA
683,Ilha Maiaú,Cururupu,MA,2019-11-20,Cururupu/MA
684,Praia de Baixio,Esplanada,BA,2019-11-20,Esplanada/BA
685,Praia do Saco,Estância,SE,2019-11-20,Estância/SE
686,Praia do Saco,Estância,SE,2019-11-20,Estância/SE
687,Praia do Saco,Estância,SE,2019-11-20,Estância/SE
688,Praia Caueira,Itaporanga D'Ajuda,SE,2019-11-20,Itaporanga D'Ajuda/SE
689,Maragogi,Maragogi,AL,2019-11-20,Maragogi/AL
690,Barra de Serinhaém,Igrapiúna,BA,2019-11-20,Igrapiúna/BA
691,Praia dos Náufragos,Aracaju,SE,2019-11-20,Aracaju/SE
692,Porto de Sauípe,Entre Rios,BA,2019-11-20,Entre Rios/BA
693,Praia dos Náufragos,Aracaju,SE,2019-11-20,Aracaju/SE
694,Praia dos Náufragos,Aracaju,SE,2019-11-20,Aracaju/SE
695,Porto do Campo,Camamu,BA,2019-11-20,Camamu/BA
696,Praia dos Milionários,Ilhéus,BA,2019-11-20,Ilhéus/BA
697,Tramataia,Marcação,PB,2019-11-20,Marcação/PB
698,Praia do Pontal,Ilha Grande,PI,2019-11-20,Ilha Grande/PI
699,Pedra do Sal,Parnaíba,PI,2019-11-20,Parnaíba/PI
700,Praia Costa Bela,Serra,ES,2019-11-20,Serra/ES
701,Foz do Rio São Francisco,Piaçabuçu,AL,2019-11-20,Piaçabuçu/AL
702,Praia de Guriri,São Mateus,ES,2019-11-21,São Mateus/ES
703,Praia Pontal do Sul,Conceição Da Barra,ES,2019-11-21,Conceição Da Barra/ES
704,Mar Grande,Vera Cruz,BA,2019-11-21,Vera Cruz/BA
705,Praia da Barra Nova,São Mateus,ES,2019-11-21,São Mateus/ES
706,Praia da Barra Nova,São Mateus,ES,2019-11-21,São Mateus/ES
707,Praia Atalaia Nova,Nossa Senhora Do Socorro,SE,2019-11-21,Nossa Senhora Do Socorro/SE
708,Praia de Guriri,Conceição Da Barra,ES,2019-11-21,Conceição Da Barra/ES
709,Córrego Barra Nova,São Mateus,ES,2019-11-21,São Mateus/ES
710,Paraíso dos Pataxós,Porto Seguro,BA,2019-11-21,Porto Seguro/BA
711,Axixá,Parnaíba,PI,2019-11-21,Parnaíba/PI
712,Paraíso dos Pataxós,Porto Seguro,BA,2019-11-21,Porto Seguro/BA
713,Taperapuã,Porto Seguro,BA,2019-11-21,Porto Seguro/BA
714,Coqueirinho,Itaporanga D'Ajuda,SE,2019-11-22,Itaporanga D'Ajuda/SE
715,Praia da Costa,Vila Velha,ES,2019-11-22,Vila Velha/ES
716,Praia da Barra do Albino,Canavieiras,BA,2019-11-22,Canavieiras/BA
717,Praia de Pontal de Coruripe,Coruripe,AL,2019-11-22,Coruripe/AL
718,Praia de Guriri,Conceição Da Barra,ES,2019-11-22,Conceição Da Barra/ES
719,Praia da Costa,Canavieiras,BA,2019-11-22,Canavieiras/BA
720,Praia da Barra do Albino,Canavieiras,BA,2019-11-22,Canavieiras/BA
721,Praia de Santo André,Santa Cruz Cabrália,BA,2019-11-22,Santa Cruz Cabrália/BA
722,Praia da Costa,Canavieiras,BA,2019-11-22,Canavieiras/BA
723,Santo Amaro das Brotas,Santo Amaro Das Brotas,SE,2019-11-22,Santo Amaro Das Brotas/SE
724,Praia de Regência,Linhares,ES,2019-11-22,Linhares/ES
725,Praia de Putiry,Aracruz,ES,2019-11-22,Aracruz/ES
726,Arpoador,Tutóia,MA,2019-11-22,Tutóia/MA
727,Grussaí,São João Da Barra,RJ,2019-11-22,São João Da Barra/RJ
728,Praia Califa,Fundão,ES,2019-11-23,Fundão/ES
729,praia califa,Fundão,ES,2019-11-23,Fundão/ES
730,Praia de Itaipu de Fora - Barra Grande de Maraú,Maraú,BA,2019-11-23,Maraú/BA
731,Praia da Costa,Canavieiras,BA,2019-11-23,Canavieiras/BA
732,Praia da Costa,Vila Velha,ES,2019-11-23,Vila Velha/ES
733,Praia de Junga,Paulista,PE,2019-11-23,Paulista/PE
734,Praia de Juerana,Ilhéus,BA,2019-11-23,Ilhéus/BA
735,Praia Pontal de Coruripe,Coruripe,AL,2019-11-23,Coruripe/AL
736,Praia da Barra Nova,São Mateus,ES,2019-11-23,São Mateus/ES
737,Praia de Guaibim,Valença,BA,2019-11-23,Valença/BA
738,Praia de Guriri,Conceição Da Barra,ES,2019-11-23,Conceição Da Barra/ES
739,Taipu de Fora,Maraú,BA,2019-11-23,Maraú/BA
740,Praia de Itaipu de Fora - Barra Grande de Maraú,Maraú,BA,2019-11-23,Maraú/BA
741,Praia de Guaibim,Valença,BA,2019-11-23,Valença/BA
742,Praia de Guaibim,Valença,BA,2019-11-23,Valença/BA
743,Praia da Barra Nova,São Mateus,ES,2019-11-23,São Mateus/ES
744,Praia da Barra Nova,São Mateus,ES,2019-11-23,São Mateus/ES
745,Praia de Cacimbas,Linhares,ES,2019-11-23,Linhares/ES
746,Praia do Degredo,Linhares,ES,2019-11-23,Linhares/ES
747,Barra do Sahy,Aracruz,ES,2019-11-23,Aracruz/ES
748,Praia de Barra Seca,São Mateus,ES,2019-11-23,São Mateus/ES
749,Putiry,Aracruz,ES,2019-11-23,Aracruz/ES
750,Ponta dos Tubarões,Igrapiúna,BA,2019-11-24,Igrapiúna/BA
751,Jardim Atlântico,Ilhéus,BA,2019-11-24,Ilhéus/BA
752,Praia do Pontal do Ipiranga,Linhares,ES,2019-11-24,Linhares/ES
753,Coqueiral,Aracruz,ES,2019-11-24,Aracruz/ES
754,Praia de Urussuquara,São Mateus,ES,2019-11-24,São Mateus/ES
755,Praia de Guriri,São Mateus,ES,2019-11-24,São Mateus/ES
756,Dunas de Marapé,Jequiá Da Praia,AL,2019-11-24,Jequiá Da Praia/AL
757,Praia do Gunga,Roteiro,AL,2019-11-25,Roteiro/AL
758,Poças,Conde,BA,2019-11-25,Conde/BA
759,Quarta Praia,Cairu,BA,2019-11-25,Cairu/BA
760,Barreira do Inferno,Parnamirim,RN,2019-11-25,Parnamirim/RN
761,Porto de Vacas,Barra De São Miguel,AL,2019-11-26,Barra De São Miguel/AL
762,Praia dos Sonhos,São Francisco De Itabapoana,RJ,2019-11-26,São Francisco De Itabapoana/RJ
763,Caburé,Barreirinhas,MA,2019-11-26,Barreirinhas/MA
764,Praia Pontal do Sul,Conceição Da Barra,ES,2019-11-26,Conceição Da Barra/ES
765,Ilha do Caju,Araioses,MA,2019-11-26,Araioses/MA
766,Ilha do Caju,Araioses,MA,2019-11-26,Araioses/MA
767,Praia de Regência,Linhares,ES,2019-11-26,Linhares/ES
768,Santa Luzia,Barra De Santo Antônio,AL,2019-11-26,Barra De Santo Antônio/AL
769,Araripe,Santa Cruz Cabrália,BA,2019-11-26,Santa Cruz Cabrália/BA
770,Praia do Pontal,Ilha Grande,PI,2019-11-26,Ilha Grande/PI
771,Arandi-Algodões,Maraú,BA,2019-11-27,Maraú/BA
772,Porto de Sauípe,Entre Rios,BA,2019-11-27,Entre Rios/BA
773,Praia de Santo André,Santa Cruz Cabrália,BA,2019-11-27,Santa Cruz Cabrália/BA
774,Praia do Pontal,Ilha Grande,PI,2019-11-27,Ilha Grande/PI
775,Pedra do Sal,Parnaíba,PI,2019-11-27,Parnaíba/PI
776,Caraiva,Porto Seguro,BA,2019-11-27,Porto Seguro/BA
777,Praia do Japonês,Camaçari,BA,2019-11-27,Camaçari/BA
778,Praia de Pontal do Peba,Piaçabuçu,AL,2019-11-27,Piaçabuçu/AL
779,Caraiva,Porto Seguro,BA,2019-11-27,Porto Seguro/BA
780,Ponta dos Tubarões,Igrapiúna,BA,2019-11-28,Igrapiúna/BA
781,Mangue Seco,Jandaíra,BA,2019-11-28,Jandaíra/BA
782,Praia Caueira,Itaporanga D'Ajuda,SE,2019-11-28,Itaporanga D'Ajuda/SE
783,Praia do Degredo,Linhares,ES,2019-11-28,Linhares/ES
784,Praia do Degredo,Linhares,ES,2019-11-28,Linhares/ES
785,Praia do Degredo,Linhares,ES,2019-11-28,Linhares/ES
786,Abais,Estância,SE,2019-11-28,Estância/SE
787,Praia de Alcobaça (Praia do Centro),Alcobaça,BA,2019-11-28,Alcobaça/BA
788,Praia Caueira,Itaporanga D'Ajuda,SE,2019-11-28,Itaporanga D'Ajuda/SE
789,Praia Caueira,Itaporanga D'Ajuda,SE,2019-11-28,Itaporanga D'Ajuda/SE
790,Praia de Mangue Seco,Jandaíra,BA,2019-11-28,Jandaíra/BA
791,Assis Chateaubriand,Maceió,AL,2019-11-28,Maceió/AL
792,Cumuruxatiba,Prado,BA,2019-11-28,Prado/BA
793,Barra do Garcez,Jaguaripe,BA,2019-11-28,Jaguaripe/BA
794,Costa Azul,Jandaíra,BA,2019-11-28,Jandaíra/BA
795,Abreu do Una,São José Da Coroa Grande,PE,2019-11-28,São José Da Coroa Grande/PE
796,Santa Isabel,Barra Dos Coqueiros,SE,2019-11-29,Barra Dos Coqueiros/SE
797,Praia Atalaia Nova,Barra Dos Coqueiros,SE,2019-11-29,Barra Dos Coqueiros/SE
798,Residencial Portal dos Corais,Aracaju,SE,2019-11-29,Aracaju/SE
799,Guarajuba,Camaçari,BA,2019-11-29,Camaçari/BA
800,Ilhas dos Poldros,Araioses,MA,2019-11-29,Araioses/MA
801,Ilha dos Poldros,Araioses,MA,2019-11-29,Araioses/MA
802,Cumuruxatiba,Prado,BA,2019-11-29,Prado/BA
803,Praia de Pontal do Peba,Piaçabuçu,AL,2019-11-29,Piaçabuçu/AL
804,Praia de Pontal do Peba,Piaçabuçu,AL,2019-11-29,Piaçabuçu/AL
805,Praia de Pontal do Peba,Piaçabuçu,AL,2019-11-29,Piaçabuçu/AL
806,Piaçabuçu,Piaçabuçu,AL,2019-11-29,Piaçabuçu/AL
807,Barraca do Japonês,Natal,RN,2019-11-30,Natal/RN
808,Jandaíra,Jandaíra,BA,2019-11-30,Jandaíra/BA
809,Japaratinga,Japaratinga,AL,2019-11-30,Japaratinga/AL
810,Praia de Iansã,Alcobaça,BA,2019-11-30,Alcobaça/BA
811,Ilha dos Poldros,Araioses,MA,2019-11-30,Araioses/MA
812,Prado,Prado,BA,2019-11-30,Prado/BA
813,Restinga,Belmonte,BA,2019-11-30,Belmonte/BA
814,Piabuçu,Piaçabuçu,AL,2019-11-30,Piaçabuçu/AL
815,Praia de Bitingui,Japaratinga,AL,2019-11-30,Japaratinga/AL
816,Piabuçu,Piaçabuçu,AL,2019-11-30,Piaçabuçu/AL
817,Piabuçu,Piaçabuçu,AL,2019-11-30,Piaçabuçu/AL
818,Piabuçu,Piaçabuçu,AL,2019-11-30,Piaçabuçu/AL
819,Piabuçu,Piaçabuçu,AL,2019-11-30,Piaçabuçu/AL
820,Estaleiro Aracruz,Aracruz,ES,2019-11-30,Aracruz/ES
821,Piabuçu,Piaçabuçu,AL,2019-11-30,Piaçabuçu/AL
822,Farol de Porto Seguro,Porto Seguro,BA,2019-12-01,Porto Seguro/BA
823,Jardim Atlântico,Serra,ES,2019-12-01,Serra/ES
824,Miai de Baixo,Coruripe,AL,2019-12-01,Coruripe/AL
825,Praia de Coroa Vermelha,Porto Seguro,BA,2019-12-01,Porto Seguro/BA
826,Coroa Vermelha,Porto Seguro,BA,2019-12-01,Porto Seguro/BA
827,Praia da Costa,Canavieiras,BA,2019-12-01,Canavieiras/BA
828,Miai de Baixo,Coruripe,AL,2019-12-01,Coruripe/AL
829,Praia do Toco,Feliz Deserto,AL,2019-12-01,Feliz Deserto/AL
830,Miai de Baixo,Coruripe,AL,2019-12-01,Coruripe/AL
831,Miai de Baixo,Coruripe,AL,2019-12-01,Coruripe/AL
832,Praia de Guaibim,Valença,BA,2019-12-01,Valença/BA
833,Praia de Coroa Vermelha,Santa Cruz Cabrália,BA,2019-12-01,Santa Cruz Cabrália/BA
834,Praia de Pratigi,Ituberá,BA,2019-12-01,Ituberá/BA
835,Praia do Caburé,Barreirinhas,MA,2019-12-01,Barreirinhas/MA
836,Uruçuca_Itacaré,Itacaré,BA,2019-12-01,Itacaré/BA
837,Grussaí,São João Da Barra,RJ,2019-12-01,São João Da Barra/RJ
838,Praia do Caburé,Paulino Neves,MA,2019-12-01,Paulino Neves/MA
839,Grussaí,São João Da Barra,RJ,2019-12-01,São João Da Barra/RJ
840,Costa do Descobrimeto,Porto Seguro,BA,2019-12-01,Porto Seguro/BA
841,Paraíso dos Pataxós,Porto Seguro,BA,2019-12-01,Porto Seguro/BA
842,Fortaleza dos reis Magos,Tibau Do Sul,RN,2019-12-02,Tibau Do Sul/RN
843,Coroa Vermelha,Porto Seguro,BA,2019-12-02,Porto Seguro/BA
844,Praia de Camburi,Vitória,ES,2019-12-02,Vitória/ES
845,Peso,Canavieiras,BA,2019-12-02,Canavieiras/BA
846,Barra do Rio Poxim,Coruripe,AL,2019-12-02,Coruripe/AL
847,Ilha dos Poldros,Araioses,MA,2019-12-02,Araioses/MA
848,Arpoador,Tutóia,MA,2019-12-02,Tutóia/MA
849,Tutoia,Tutóia,MA,2019-12-02,Tutóia/MA
850,Paríso dos Pataxos,Porto Seguro,BA,2019-12-02,Porto Seguro/BA
851,Tutoia,Tutóia,MA,2019-12-02,Tutóia/MA
852,Caraiva,Porto Seguro,BA,2019-12-03,Porto Seguro/BA
853,Upanema,Areia Branca,RN,2019-12-03,Areia Branca/RN
854,Praia do Poxim,Una,BA,2019-12-03,Una/BA
855,Costa dos Corais,Porto De Pedras,AL,2019-12-03,Porto De Pedras/AL
856,Guaiú,Santa Cruz Cabrália,BA,2019-12-03,Santa Cruz Cabrália/BA
857,Poça,Conde,BA,2019-12-03,Conde/BA
858,Praia do Poxim,Canavieiras,BA,2019-12-03,Canavieiras/BA
859,Praia do Poxim,Canavieiras,BA,2019-12-03,Canavieiras/BA
860,Praia do Mutá,Porto Seguro,BA,2019-12-03,Porto Seguro/BA
861,Uruçuca_Itacaré,Uruçuca,BA,2019-12-03,Uruçuca/BA
862,Praia do Poxim,Canavieiras,BA,2019-12-03,Canavieiras/BA
863,Praia de Guaibim,Valença,BA,2019-12-03,Valença/BA
864,Praia de Saquaíra,Maraú,BA,2019-12-03,Maraú/BA
865,Praia de Lençõis,Una,BA,2019-12-03,Una/BA
866,Praia de Lençõis,Una,BA,2019-12-03,Una/BA
867,Dunas de Marapé,Jequiá Da Praia,AL,2019-12-03,Jequiá Da Praia/AL
868,Costa dos Corais,Porto De Pedras,AL,2019-12-03,Porto De Pedras/AL
869,Praia Grande,Vitória,ES,2019-12-04,Vitória/ES
870,Praia Grande,Vitória,ES,2019-12-04,Vitória/ES
871,Praia da Barra,Conceição Da Barra,ES,2019-12-04,Conceição Da Barra/ES
872,Praia do Saco (3),Estância,SE,2019-12-04,Estância/SE
873,Ilha dos Poldros,Araioses,MA,2019-12-04,Araioses/MA
874,Praia do Taboado,Jequiá Da Praia,AL,2019-12-04,Jequiá Da Praia/AL
875,Praia do Taboado,Jequiá Da Praia,AL,2019-12-04,Jequiá Da Praia/AL
876,Canárias,Araioses,MA,2019-12-04,Araioses/MA
877,Peso,Canavieiras,BA,2019-12-04,Canavieiras/BA
878,Ilha do Cajú,Araioses,MA,2019-12-04,Araioses/MA
879,Praia de Piracanga,Maraú,BA,2019-12-04,Maraú/BA
880,Ilha do Cajú,Araioses,MA,2019-12-04,Araioses/MA
881,Mangue Seco,Jandaíra,BA,2019-12-04,Jandaíra/BA
882,Foz do Rio Manguaba,Porto De Pedras,AL,2019-12-04,Porto De Pedras/AL
883,Costa do Corais,Porto De Pedras,AL,2019-12-04,Porto De Pedras/AL
884,Praia de Larges,Porto De Pedras,AL,2019-12-04,Porto De Pedras/AL
885,Praia de Larges,Porto De Pedras,AL,2019-12-04,Porto De Pedras/AL
886,Arembepe,Camaçari,BA,2019-12-05,Camaçari/BA
887,Barra de São Miguel,Barra De São Miguel,AL,2019-12-05,Barra De São Miguel/AL
888,Canárias,Araioses,MA,2019-12-05,Araioses/MA
889,Canárias,Araioses,MA,2019-12-05,Araioses/MA
890,Tutoia,Tutóia,MA,2019-12-05,Tutóia/MA
891,Canoa Quebrada,Aracati,CE,2019-12-06,Aracati/CE
892,Praia da Via Costeira,Natal,RN,2019-12-06,Natal/RN
893,Praia do Poxim,Canavieiras,BA,2019-12-06,Canavieiras/BA
894,Cumbe,Aracati,CE,2019-12-09,Aracati/CE
895,Praia Pirambu,Pirambu,SE,2019-12-09,Pirambu/SE
896,Praia de Pontal de Coruripe,Coruripe,AL,2019-12-09,Coruripe/AL
897,Praia Pirambu,Pirambu,SE,2019-12-09,Pirambu/SE
898,Praia da Ponta dos Mangues,Pacatuba,SE,2019-12-09,Pacatuba/SE
899,Ilha de Santana,Humberto De Campos,MA,2019-12-10,Humberto De Campos/MA
900,Praia de Zumbi,Rio Do Fogo,RN,2019-12-11,Rio Do Fogo/RN
901,Praia de Icaraí de Amontada,Amontada,CE,2019-12-11,Amontada/CE
902,Barra de Serinhoém,Igrapiúna,BA,2019-12-11,Igrapiúna/BA
903,Praia Grande,Fundão,ES,2019-12-11,Fundão/ES
904,Praia do Canto,Vitória,ES,2019-12-11,Vitória/ES
905,Praia do Canto,Vitória,ES,2019-12-11,Vitória/ES
906,Praia Grande,Vitória,ES,2019-12-11,Vitória/ES
907,Praia Grande,Vitória,ES,2019-12-11,Vitória/ES
908,Caiçara do Norte,Caiçara Do Norte,RN,2019-12-11,Caiçara Do Norte/RN
909,Barra Grande,Icapuí,CE,2019-12-11,Icapuí/CE
910,Praia Curva da Jurema,Vitória,ES,2019-12-11,Vitória/ES
911,Ilha do Frade,Vitória,ES,2019-12-11,Vitória/ES
912,Praiade Arakakaí,Santa Cruz Cabrália,BA,2019-12-11,Santa Cruz Cabrália/BA
913,Ilha do Delta do Jequitinhonha,Belmonte,BA,2019-12-11,Belmonte/BA
914,Praia da Barra,Vila Velha,ES,2019-12-11,Vila Velha/ES
915,Rio Punaú,Rio Do Fogo,RN,2019-12-11,Rio Do Fogo/RN
916,Praia de Mamoã,Ilhéus,BA,2019-12-11,Ilhéus/BA
917,Aracruz,Aracruz,ES,2019-12-11,Aracruz/ES
918,Praia das Castanheiras,Guarapari,ES,2019-12-11,Guarapari/ES
919,Santa Cruz,Aracruz,ES,2019-12-11,Aracruz/ES
920,Aracruz,Aracruz,ES,2019-12-11,Aracruz/ES
921,Aracruz,Aracruz,ES,2019-12-11,Aracruz/ES
922,Moitas,Amontada,CE,2019-12-11,Amontada/CE
923,Praia Sítio do Conde,Conde,BA,2019-12-11,Conde/BA
924,Praia do Poxim,Canavieiras,BA,2019-12-11,Canavieiras/BA
925,Travosa,Santo Amaro Do Maranhão,MA,2019-12-11,Santo Amaro Do Maranhão/MA
926,Praia de Iansã,Alcobaça,BA,2019-12-11,Alcobaça/BA
927,Praia de Arrombado,Luís Correia,PI,2019-12-11,Luís Correia/PI
928,Praia da Areia Preta,Guarapari,ES,2019-12-11,Guarapari/ES
929,Putiry,Aracruz,ES,2019-12-11,Aracruz/ES
930,Santa Cruz,Aracruz,ES,2019-12-11,Aracruz/ES
931,Praia Castanheiras,Aracruz,ES,2019-12-11,Aracruz/ES
932,Quinta Praia (Praia do Encanto),Cairu,BA,2019-12-11,Cairu/BA
933,Praia de Trancoso,Porto Seguro,BA,2019-12-11,Porto Seguro/BA
934,Arpoador,Tutóia,MA,2019-12-11,Tutóia/MA
935,Viral,Aracaju,SE,2019-12-12,Aracaju/SE
936,Abrolhos,Caravelas,BA,2019-12-12,Caravelas/BA
937,Barr Grande (sul),Maragogi,AL,2019-12-13,Maragogi/AL
938,Praia do Morro,Guarapari,ES,2019-12-13,Guarapari/ES
939,Santa Mônica,Guarapari,ES,2019-12-13,Guarapari/ES
940,Barra do Rio,Extremoz,RN,2019-12-13,Extremoz/RN
941,Praia do Morro,Guarapari,ES,2019-12-13,Guarapari/ES
942,Uruçuca_Itacare,Uruçuca,BA,2019-12-13,Uruçuca/BA
943,Praia do Antunes,Maragogi,AL,2019-12-13,Maragogi/AL
944,Ilha dos Poldros,Araioses,MA,2019-12-14,Araioses/MA
945,Ilha dos Poldros,Araioses,MA,2019-12-14,Araioses/MA
946,Praia da Majorlândia,Aracati,CE,2019-12-14,Aracati/CE
947,Praia do Pontal,Parnaíba,PI,2019-12-14,Parnaíba/PI
948,Canárias,Araioses,MA,2019-12-14,Araioses/MA
949,Canárias,Araioses,MA,2019-12-14,Araioses/MA
950,Ilha dos Poldros,Araioses,MA,2019-12-14,Araioses/MA
951,Ilha dos Poldros,Araioses,MA,2019-12-14,Araioses/MA
952,Barra de Belmonte (Praia de Caieira),Belmonte,BA,2019-12-14,Belmonte/BA
953,Mamucabo,Esplanada,BA,2019-12-14,Esplanada/BA
954,Praia de Japaratinga,Japaratinga,AL,2019-12-14,Japaratinga/AL
955,Jandaira,Jandaíra,BA,2019-12-14,Jandaíra/BA
956,Foz do rio Manguaba,Porto De Pedras,AL,2019-12-14,Porto De Pedras/AL
957,Conceiço da Barra,Conceição Da Barra,ES,2019-12-15,Conceição Da Barra/ES
958,Barra do Itariri,Conde,BA,2019-12-16,Conde/BA
959,Praia do Corumbau,Prado,BA,2019-12-17,Prado/BA
960,Praia Caueira,Itaporanga D'Ajuda,SE,2019-12-17,Itaporanga D'Ajuda/SE
961,Praia de Mangue Seco,Jandaíra,BA,2019-12-17,Jandaíra/BA
962,Aritagua,Ilhéus,BA,2019-12-17,Ilhéus/BA
963,Praia do Pontal,Ilha Grande,PI,2019-12-17,Ilha Grande/PI
964,Praia de São Bento,Maragogi,AL,2019-12-18,Maragogi/AL
965,Canavieiras,Canavieiras,BA,2019-12-18,Canavieiras/BA
966,Praia do Piracanga,Itacaré,BA,2019-12-18,Itacaré/BA
967,Uruçuca_Itacaré,Uruçuca,BA,2019-12-19,Uruçuca/BA
968,Porto de Sauipe,Entre Rios,BA,2019-12-19,Entre Rios/BA
969,Praia do Poxim,Canavieiras,BA,2019-12-19,Canavieiras/BA
970,Canarias,Araioses,MA,2019-12-19,Araioses/MA
971,Canavieiras,Canavieiras,BA,2019-12-19,Canavieiras/BA
972,Dunas de Marape,Jequiá Da Praia,AL,2019-12-19,Jequiá Da Praia/AL
973,Praia Patizeiro,Itacaré,BA,2019-12-20,Itacaré/BA
974,Camuruxatiba,Prado,BA,2019-12-20,Prado/BA
975,Praia de Ponta da Tulha,Ilhéus,BA,2019-12-20,Ilhéus/BA
976,Camuruxatiba,Prado,BA,2019-12-21,Prado/BA
977,Praia do rio,Prado,BA,2019-12-21,Prado/BA
978,Praia do Rio,Prado,BA,2019-12-21,Prado/BA
979,Praia do Poxim,Canavieiras,BA,2019-12-23,Canavieiras/BA
980,Praia do Poxim,Canavieiras,BA,2019-12-23,Canavieiras/BA
981,Canavieiras,Canavieiras,BA,2019-12-24,Canavieiras/BA
982,Coqueirinho,Itaporanga D'Ajuda,SE,2019-12-26,Itaporanga D'Ajuda/SE
983,Praia de São Bento,Maragogi,AL,2019-12-27,Maragogi/AL
984,Canavieiras,Canavieiras,BA,2019-12-28,Canavieiras/BA
985,Cumuruxatiba,Prado,BA,2019-12-28,Prado/BA
986,Praia do Poxim,Canavieiras,BA,2019-12-29,Canavieiras/BA
987,Ponta da Barra,Marechal Deodoro,AL,2019-12-30,Marechal Deodoro/AL
988,Ponta da Barra,Marechal Deodoro,AL,2019-12-30,Marechal Deodoro/AL
989,Praia de Caetanos,Itapipoca,CE,2019-01-01,Itapipoca/CE
990,Praia de Caetanos,Amontada,CE,2019-01-01,Amontada/CE
991,Praia de Almofala,Itarema,CE,2019-01-02,Itarema/CE
992,Praia de Pontal de Coruripe,Coruripe,AL,2019-01-02,Coruripe/AL
993,Praia de Pontal de Coruripe,Coruripe,AL,2019-01-02,Coruripe/AL
994,Praia de Icaraí de Amontada,Amontada,CE,2019-01-02,Amontada/CE
995,Praia de Almofala,Itarema,CE,2019-01-03,Itarema/CE
996,Praia do Carro Quebrado,Passo De Camaragibe,AL,2019-01-08,Passo De Camaragibe/AL
997,Praia de Caetanos,Amontada,CE,2019-01-13,Amontada/CE
998,Praia da Ponta dos Mangues,Pacatuba,SE,2019-01-16,Pacatuba/SE
999,Praia da Ponta dos Mangues,Pacatuba,SE,2019-01-16,Pacatuba/SE
1000,Praia da Ponta dos Mangues,Pacatuba,SE,2019-01-16,Pacatuba/SE
1001,Praia Pirambu,Pirambu,SE,2019-01-16,Pirambu/SE
1002,Praia dos Caetanos,Amontada,CE,2019-01-17,Amontada/CE
1003,Jacumã,Ceará-Mirim,RN,2019-11-09,Ceará-Mirim/RN
